CON,HOAD Remarks,State,GSTIN of OWN,GSTIN of supplier,Trade/Legal name,Invoice number,Invoice type,Invoice Date,Invoice Value(₹),Place of supply,Supply Attract Reverse Charge,Taxable Value (₹),Integrated Tax(₹),Central Tax(₹),State/UT Tax(₹),Cess(₹),GSTR-1/IFF/GSTR-5 Period,GSTR-1/IFF/GSTR-5 Filing Date,ITC Availability,Reason,Applicable % of Tax Rate,Source,IRN,IRN Date,Document Type
27AADCA2325A1ZF07AADCA2325A1ZH240TO1010001325,Matched,Maharashtra,27AADCA2325A1ZF,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001325,Regular,25/02/2025,"3,920",Maharashtra,No,"3,500",420,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF07AADCA2325A1ZH240TO1010001327,Matched,Maharashtra,27AADCA2325A1ZF,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001327,Regular,27/02/2025,"54,880",Maharashtra,No,"49,000","5,880",0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF07AADCA2325A1ZH240TO1010001328,Carry Forward,Maharashtra,27AADCA2325A1ZF,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001328,Regular,27/02/2025,"13,125",Maharashtra,No,"12,500",625,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF07AADCA2325A1ZH240TO1010001332,Carry Forward,Maharashtra,27AADCA2325A1ZF,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1010001332,Regular,28/02/2025,"5,310",Maharashtra,No,"4,500",810,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AACCA6756A1ZXMH2422017357,Carry Forward,Maharashtra,27AADCA2325A1ZF,27AACCA6756A1ZX,ARAMEX INDIA PRIVATE LIMITED,MH2422017357,Regular,28/02/2025,"1,019.52",Maharashtra,No,864,0,77.76,77.76,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AACCA6756A1ZXMH2422017536,Carry Forward,Maharashtra,27AADCA2325A1ZF,27AACCA6756A1ZX,ARAMEX INDIA PRIVATE LIMITED,MH2422017536,Regular,28/02/2025,"144,648.36",Maharashtra,No,"122,583.36",0,"11,032.50","11,032.50",0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AACCA6756A1ZXMH2422017868,Carry Forward,Maharashtra,27AADCA2325A1ZF,27AACCA6756A1ZX,ARAMEX INDIA PRIVATE LIMITED,MH2422017868,Regular,28/02/2025,"7,615.55",Maharashtra,No,"2,979.75",0,268.18,268.18,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AAHCM7581Q1ZIVSPL/FEB2025/379,Matched,Maharashtra,27AADCA2325A1ZF,27AAHCM7581Q1ZI,VEGA SOLUTIONS PRIVATE LIMITED,VSPL/FEB2025/379,Regular,24/02/2025,"118,637.20",Maharashtra,No,"100,540",0,"9,048.60","9,048.60",0,Feb'25,10/03/2025,Yes,,100%,E-Invoice,11703f1cf42dbc8ccfc4f87feccd764b9580fe4ce965ba360f75c6e081efdcaa,24/02/2025,Invoice
27AADCA2325A1ZF27AADCC3673R1Z1CCFB2425058,Matched,Maharashtra,27AADCA2325A1ZF,27AADCC3673R1Z1,CUSTOMER CENTRIA ENTERPRISE SOLUTIONS PVT LTD.,CCFB2425058,Regular,10/02/2025,"147,500",Maharashtra,No,"125,000",0,"11,250","11,250",0,Feb'25,10/03/2025,Yes,,100%,E-Invoice,be0c5a7cf249353ee19655448423c31067c098fcd77d8da9da07764f8ca2e7b4,10/02/2025,Invoice
27AADCA2325A1ZF24AABCV3609C1ZT4496326,RCM,Maharashtra,27AADCA2325A1ZF,24AABCV3609C1ZT,VRL LOGISTICS LIMITED.,4496326,Regular,28/02/2025,468,Maharashtra,Yes,468,23.40,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF24ASMPD5695G1ZIG/197,Matched,Maharashtra,27AADCA2325A1ZF,24ASMPD5695G1ZI,B S SILKS,G/197,Regular,01/02/2025,"28,366",Maharashtra,No,"27,015.50","1,350.78",0,0,0,Feb'25,05/03/2025,Yes,,100%,E-Invoice,30d32dbb0edf7e3d1a1e4b6d3c7d3d9f84a7926e2d0c46222912cc0776e22485,01/02/2025,Invoice
27AADCA2325A1ZF24ASMPD5695G1ZIG/207,Matched,Maharashtra,27AADCA2325A1ZF,24ASMPD5695G1ZI,B S SILKS,G/207,Regular,10/02/2025,"44,134",Maharashtra,No,"42,032","2,101.60",0,0,0,Feb'25,05/03/2025,Yes,,100%,E-Invoice,91d576dec39bfffbea0ffe7ee7200e45fa557645fdc31de7fc5448357a39796a,10/02/2025,Invoice
27AADCA2325A1ZF27AMYPB1184A1Z68413,RCM,Maharashtra,27AADCA2325A1ZF,27AMYPB1184A1Z6,SAMRUDDHI TRAVELS,8413,Regular,28/02/2025,"392,000",Maharashtra,Yes,"392,000",0,0,0,0,Feb'25,11/03/2025,Yes,,100%,E-Invoice,812743b7f95a16be9f9c98047a28483a6c61b917c82c83428fd1660b74644d52,10/03/2025,Invoice
27AADCA2325A1ZF27AMYPB1184A1Z68413-A,RCM,Maharashtra,27AADCA2325A1ZF,27AMYPB1184A1Z6,SAMRUDDHI TRAVELS,8413-A,Regular,28/02/2025,"92,000",Maharashtra,Yes,"92,000",0,0,0,0,Feb'25,11/03/2025,Yes,,100%,E-Invoice,e41a5577af6e3fda29cfe9f3ffd7a1fb5d52faefd9ebdef41c821fe4ae5e3cd4,10/03/2025,Invoice
27AADCA2325A1ZF27ABIFM7535K1ZRMFAY2442/2024-25,Matched,Maharashtra,27AADCA2325A1ZF,27ABIFM7535K1ZR,MEHTA FABRICS AND YARNS LLP,MFAY2442/2024-25,Regular,05/02/2025,"4,594",Maharashtra,No,"4,375",0,109.38,109.38,0,Feb'25,11/03/2025,Yes,,100%,E-Invoice,d11b4720ed388a2268120f91d42c4d1eba7fa3f01690856069e28996b0ac4724,06/02/2025,Invoice
27AADCA2325A1ZF27ABIFM7535K1ZRMFAY2652/2024-25,Carry Forward,Maharashtra,27AADCA2325A1ZF,27ABIFM7535K1ZR,MEHTA FABRICS AND YARNS LLP,MFAY2652/2024-25,Regular,27/02/2025,"101,115",Maharashtra,No,"96,300",0,"2,407.50","2,407.50",0,Feb'25,11/03/2025,Yes,,100%,E-Invoice,8788ab0cdd1a5924865c17d87620262a8f01c42d60ffcf22b67489178c7c89a8,28/02/2025,Invoice
27AADCA2325A1ZF07AABCV3609C1ZP4496325,RCM,Maharashtra,27AADCA2325A1ZF,07AABCV3609C1ZP,VRL LOGISTICS LIMITED.,4496325,Regular,28/02/2025,589,Maharashtra,Yes,589,29.45,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AAACB0446L1ZS2025227R00021076,Carry Forward,Maharashtra,27AADCA2325A1ZF,27AAACB0446L1ZS,BLUE DART EXPRESS LIMITED,2025227R00021076,Regular,28/02/2025,"28,313.06",Maharashtra,No,"23,994.12",0,"2,159.47","2,159.47",0,Feb'25,10/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AAACB0446L1ZS2025227R00021077,Carry Forward,Maharashtra,27AADCA2325A1ZF,27AAACB0446L1ZS,BLUE DART EXPRESS LIMITED,2025227R00021077,Regular,28/02/2025,"259,702.82",Maharashtra,No,"220,087.14",0,"19,807.84","19,807.84",0,Feb'25,10/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27ALRPG7981L1Z6GST/24-25/109,Uneligible ITC,Maharashtra,27AADCA2325A1ZF,27ALRPG7981L1Z6,CHINTAMANI TRAVELS,GST/24-25/109,Regular,31/12/2024,"63,720",Maharashtra,No,"54,000",0,"4,860","4,860",0,Dec'24,15/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000701,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000701,Regular,01/02/2025,"2,676.80",Maharashtra,No,"2,390",286.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000703,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000703,Regular,02/02/2025,"3,124.80",Maharashtra,No,"2,790",334.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000704,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000704,Regular,03/02/2025,"2,340.80",Maharashtra,No,"2,090",250.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000705,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000705,Regular,04/02/2025,"8,850",Maharashtra,No,"7,500","1,350",0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000708,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000708,Regular,04/02/2025,"21,280",Maharashtra,No,"19,000","2,280",0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000711,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000711,Regular,06/02/2025,"3,012.80",Maharashtra,No,"2,690",322.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000712,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000712,Regular,06/02/2025,"1,118.88",Maharashtra,No,999,119.88,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000713,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000713,Regular,06/02/2025,"3,675",Maharashtra,No,"3,500",175,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000717,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000717,Regular,07/02/2025,875.50,Maharashtra,No,850,25.50,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000718,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000718,Regular,10/02/2025,"2,004.80",Maharashtra,No,"1,790",214.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000722,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000722,Regular,11/02/2025,"2,228.80",Maharashtra,No,"1,990",238.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000725,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000725,Regular,12/02/2025,"5,040",Maharashtra,No,"4,500",540,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000726,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000726,Regular,12/02/2025,"3,348.80",Maharashtra,No,"2,990",358.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000727,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000727,Regular,14/02/2025,"3,211.76",Maharashtra,No,"2,798",413.76,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000730,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000730,Regular,15/02/2025,"2,004.80",Maharashtra,No,"1,790",214.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000732,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000732,Regular,16/02/2025,"2,523.50",Maharashtra,No,"2,450",73.50,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000733,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000733,Regular,17/02/2025,829.50,Maharashtra,No,790,39.50,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000734,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000734,Regular,17/02/2025,"13,106.75",Maharashtra,No,"12,725",381.75,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000735,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000735,Regular,17/02/2025,"2,340.80",Maharashtra,No,"2,090",250.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000736,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000736,Regular,17/02/2025,"2,946.30",Maharashtra,No,"2,680",266.30,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000738,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000738,Regular,18/02/2025,"2,950",Maharashtra,No,"2,500",450,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000739,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000739,Regular,19/02/2025,"6,944",Maharashtra,No,"6,200",744,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000741,Carry Forward,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000741,Regular,21/02/2025,"2,116.80",Maharashtra,No,"1,890",226.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000751,Matched,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000751,Regular,26/02/2025,"1,780.80",Maharashtra,No,"1,590",190.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000756,Carry Forward,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000756,Regular,28/02/2025,"4,130",Maharashtra,No,"3,500",630,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000757,Carry Forward,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000757,Regular,28/02/2025,"2,004.80",Maharashtra,No,"1,790",214.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000758,Carry Forward,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000758,Regular,28/02/2025,"5,310",Maharashtra,No,"4,500",810,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF06AADCA2325A1ZJ240TO1002000759,Carry Forward,Maharashtra,27AADCA2325A1ZF,06AADCA2325A1ZJ,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1002000759,Regular,28/02/2025,"2,116.80",Maharashtra,No,"1,890",226.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27CWOPP5579B1ZZ2599,Matched,Maharashtra,27AADCA2325A1ZF,27CWOPP5579B1ZZ,SAIBABA TRADERS,2599,Regular,08/02/2025,"11,918",Maharashtra,No,"10,100",0,909,909,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27CWOPP5579B1ZZ2610,Carry Forward,Maharashtra,27AADCA2325A1ZF,27CWOPP5579B1ZZ,SAIBABA TRADERS,2610,Regular,14/02/2025,"11,918",Maharashtra,No,"10,100",0,909,909,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27CWOPP5579B1ZZ2662,Matched,Maharashtra,27AADCA2325A1ZF,27CWOPP5579B1ZZ,SAIBABA TRADERS,2662,Regular,17/02/2025,"20,621",Maharashtra,No,"17,475",0,"1,572.75","1,572.75",0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27CWOPP5579B1ZZ2671,Matched,Maharashtra,27AADCA2325A1ZF,27CWOPP5579B1ZZ,SAIBABA TRADERS,2671,Regular,21/02/2025,"2,495",Maharashtra,No,"2,376",0,59.40,59.40,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27CWOPP5579B1ZZ2672,Matched,Maharashtra,27AADCA2325A1ZF,27CWOPP5579B1ZZ,SAIBABA TRADERS,2672,Regular,21/02/2025,"4,390",Maharashtra,No,"3,920",0,235.20,235.20,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27CWOPP5579B1ZZ2686,Matched,Maharashtra,27AADCA2325A1ZF,27CWOPP5579B1ZZ,SAIBABA TRADERS,2686,Regular,26/02/2025,"4,484",Maharashtra,No,"3,800",0,342,342,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF24DUMPK0562C1ZW226/2024/25,Matched,Maharashtra,27AADCA2325A1ZF,24DUMPK0562C1ZW,KHATRI FAHD GULAMHUSEN,226/2024/25,Regular,31/01/2025,"36,383",Maharashtra,No,"34,650","1,732.50",0,0,0,Jan'25,17/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AAMPB8549F1ZI24-25/KHC/043,Matched,Maharashtra,27AADCA2325A1ZF,27AAMPB8549F1ZI,KHYBER RESTAURANT,24-25/KHC/043,Regular,01/02/2025,"3,540,000",Maharashtra,No,"3,000,000",0,"270,000","270,000",0,Feb'25,11/03/2025,Yes,,100%,E-Invoice,fa41ed4548645e0df202cd827a32f33ff178ca4d3217221896f65a41e53850b8,06/02/2025,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1106,In Dec_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1106,Regular,02/11/2024,"7,875",Maharashtra,No,"7,500",0,187.50,187.50,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1107,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1107,Regular,04/11/2024,"9,450",Maharashtra,No,"9,000",0,225,225,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1108,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1108,Regular,04/11/2024,"5,250",Maharashtra,No,"5,000",0,125,125,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1109,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1109,Regular,04/11/2024,"5,040",Maharashtra,No,"4,800",0,120,120,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1110,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1110,Regular,04/11/2024,"21,000",Maharashtra,No,"20,000",0,500,500,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1111,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1111,Regular,04/11/2024,"2,625",Maharashtra,No,"2,500",0,62.50,62.50,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1113,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1113,Regular,05/11/2024,"1,050",Maharashtra,No,"1,000",0,25,25,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1114,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1114,Regular,05/11/2024,"7,875",Maharashtra,No,"7,500",0,187.50,187.50,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1115,In Dec_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1115,Regular,05/11/2024,"11,025",Maharashtra,No,"10,500",0,262.50,262.50,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1116,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1116,Regular,05/11/2024,"5,250",Maharashtra,No,"5,000",0,125,125,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1118,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1118,Regular,05/11/2024,"11,550",Maharashtra,No,"11,000",0,275,275,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1119,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1119,Regular,06/11/2024,"3,150",Maharashtra,No,"3,000",0,75,75,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1120,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1120,Regular,06/11/2024,945,Maharashtra,No,900,0,22.50,22.50,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1121,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1121,Regular,06/11/2024,"8,400",Maharashtra,No,"8,000",0,200,200,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1122,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1122,Regular,07/11/2024,630,Maharashtra,No,600,0,15,15,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1123,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1123,Regular,07/11/2024,"16,800",Maharashtra,No,"16,000",0,400,400,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1124,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1124,Regular,07/11/2024,"2,415",Maharashtra,No,"2,300",0,57.50,57.50,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1125,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1125,Regular,07/11/2024,"2,100",Maharashtra,No,"2,000",0,50,50,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1127,In Dec_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1127,Regular,07/11/2024,"3,675",Maharashtra,No,"3,500",0,87.50,87.50,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1128,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1128,Regular,07/11/2024,"8,400",Maharashtra,No,"8,000",0,200,200,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1129,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1129,Regular,07/11/2024,"4,410",Maharashtra,No,"4,200",0,105,105,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1130,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1130,Regular,08/11/2024,"1,837.50",Maharashtra,No,"1,750",0,43.75,43.75,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1131,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1131,Regular,08/11/2024,"13,125",Maharashtra,No,"12,500",0,312.50,312.50,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
27AADCA2325A1ZF27AJDPK6570B1ZE1132,In Nov_24_Books,Maharashtra,27AADCA2325A1ZF,27AJDPK6570B1ZE,VASTRAKALA,1132,Regular,08/11/2024,"36,750",Maharashtra,No,"35,000",0,875,875,0,Nov'24,18/02/2025,Yes,,100%,,,,Invoice
